memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
2048,warm,False,147139,0.397984,674680,148760,63.0
2048,warm,False,145833,0.405658,679741,147620,62.0
2048,warm,False,144303,0.394625,672929,145730,63.0
2048,warm,False,143143,0.413317,691653,144570,63.0
2048,warm,False,144715,0.384419,659767,146130,63.0
2048,warm,False,144449,0.385029,658786,145900,63.0
2048,warm,False,144897,0.388706,665904,146360,63.0
2048,warm,False,147363,0.392871,669558,148840,63.0
2048,warm,False,145419,0.392214,666677,146910,63.0
2048,warm,False,143121,0.404817,680086,0,
2048,warm,False,145640,0.402527,678757,146970,63.0
2048,warm,False,149069,0.404979,689305,150580,63.0
2048,warm,False,145436,0.396129,677396,146880,63.0
2048,warm,False,145462,0.398437,672673,147060,63.0
2048,warm,False,142709,0.413574,686961,144240,62.0
2048,warm,False,147478,0.380989,659878,148950,63.0
2048,warm,False,125482,0.409335,664078,126860,63.0
2048,warm,False,145395,0.405127,676401,146830,63.0
2048,warm,False,144143,0.3797,652159,0,
2048,warm,False,143700,0.409465,681659,0,
2048,warm,False,144717,0.390291,664916,146140,63.0
2048,warm,False,147485,0.405533,689361,148960,63.0
2048,warm,False,144070,0.400998,673636,145450,63.0
2048,warm,False,144810,0.392507,670904,146460,63.0
2048,warm,False,144229,0.39489,672605,145800,63.0
2048,warm,False,161412,0.408011,699877,163930,63.0
2048,warm,False,123168,0.402548,653914,124510,63.0
2048,warm,False,126221,0.407006,664865,127600,62.0
2048,warm,False,146562,0.394599,672395,148160,63.0
2048,warm,False,144601,0.395277,666676,146090,63.0
2048,warm,False,143566,0.406575,689131,0,
2048,warm,False,154939,0.393245,683681,156690,62.0
2048,warm,False,145641,0.391255,668597,147220,63.0
2048,warm,False,143603,0.407403,681929,144940,63.0
2048,warm,False,143718,0.402236,677356,145140,63.0
2048,warm,False,143819,0.392725,669329,145260,63.0
2048,warm,False,145145,0.381341,659942,146480,63.0
2048,warm,False,145124,0.397624,673154,146600,63.0
2048,warm,False,145899,0.381427,656674,147250,63.0
2048,warm,False,145212,0.383754,658757,146720,63.0
2048,warm,False,143864,0.394811,661623,145320,63.0
2048,warm,False,152908,0.376584,659621,154540,63.0
2048,warm,False,146318,0.381794,652008,147870,63.0
2048,warm,False,146523,0.381281,661056,148870,63.0
2048,warm,False,147308,0.385081,670478,0,
2048,warm,False,145735,0.40252,677876,0,
2048,warm,False,145983,0.401138,678518,147510,63.0
2048,warm,False,145568,0.385162,665175,147910,63.0
2048,warm,False,167911,0.410917,703405,0,
2048,warm,False,144185,0.394082,664243,145590,63.0
2048,warm,False,145039,0.407938,682366,146410,63.0
2048,warm,False,150172,0.382637,660686,151780,63.0
2048,warm,False,145445,0.38656,661112,146940,63.0
2048,warm,False,145182,0.411241,686548,146640,63.0
2048,warm,False,143929,0.393059,669300,145450,63.0
2048,warm,False,145834,0.389607,665637,147410,63.0
2048,warm,False,147601,0.38958,664793,149160,63.0
2048,warm,False,143194,0.401341,670554,144560,63.0
2048,warm,False,145175,0.386637,669850,146650,63.0
2048,warm,False,145252,0.400542,674354,146760,63.0
2048,warm,False,145078,0.403191,681613,146670,63.0
2048,warm,False,144100,0.385475,660519,145520,62.0
2048,warm,False,138010,0.399374,668000,139350,63.0
2048,warm,False,145032,0.388212,660710,146530,63.0
2048,warm,False,151988,0.379417,654643,153550,63.0
2048,warm,False,147757,0.379883,656587,149470,62.0
2048,warm,False,147071,0.407735,679770,148550,62.0
2048,warm,False,145518,0.387826,663578,147100,63.0
2048,warm,False,144818,0.399381,676411,146210,63.0
2048,warm,False,145031,0.384964,659002,146600,63.0
2048,warm,False,143752,0.386235,658151,145230,63.0
2048,warm,False,144794,0.392569,667773,146190,63.0
2048,warm,False,145500,0.407606,681840,146930,63.0
2048,warm,False,145495,0.38171,659321,146830,63.0
2048,warm,False,123272,0.409842,660545,124520,63.0
2048,warm,False,144377,0.395798,669040,145730,63.0
2048,warm,False,145182,0.387156,675652,146700,63.0
2048,warm,False,138856,0.398178,664151,140280,62.0
2048,warm,False,145283,0.395428,673087,146860,63.0
2048,warm,False,146068,0.399353,683920,150610,63.0
2048,warm,False,143547,0.405369,699482,145010,63.0
2048,warm,False,150805,0.398372,674158,0,
2048,warm,False,144839,0.374366,646948,146410,63.0
2048,warm,False,124251,0.41192,665535,125540,62.0
2048,warm,False,148311,0.390015,672055,149810,63.0
2048,warm,False,155791,0.403432,685348,0,
2048,warm,False,143612,0.389682,662095,145040,63.0
2048,warm,False,145886,0.399506,670455,147390,63.0
2048,warm,False,146047,0.385683,670650,147760,63.0
2048,warm,False,144676,0.40107,670054,146180,63.0
2048,warm,False,143770,0.401814,679932,145220,63.0
2048,warm,False,144332,0.410412,686115,145800,63.0
2048,warm,False,123634,0.401987,656012,0,
2048,warm,False,145086,0.383643,655050,146560,63.0
2048,warm,False,143262,0.38039,649090,144700,63.0
2048,warm,False,143235,0.388924,661553,144590,63.0
2048,warm,False,147212,0.387588,662874,148790,62.0
2048,warm,False,142601,0.381139,651992,144040,63.0
2048,warm,False,123220,0.410167,663243,124520,63.0
2048,warm,False,145323,0.403013,683757,146820,63.0
2048,warm,False,144537,0.384932,662634,146080,63.0
2048,warm,False,137463,0.402327,670318,138840,63.0
2048,warm,False,143223,0.393557,664386,144570,63.0
2048,warm,False,144678,0.389617,659116,146150,63.0
2048,warm,False,152170,0.388137,673176,153830,63.0
2048,warm,False,147370,0.385036,660399,148860,63.0
2048,warm,False,143253,0.379885,660880,144790,63.0
2048,warm,False,143829,0.379191,651694,145220,62.0
2048,warm,False,150193,0.385018,670966,151900,63.0
2048,warm,False,123950,0.396784,651312,125320,63.0
2048,warm,False,149851,0.385455,669213,152560,63.0
2048,warm,False,144837,0.399435,677409,0,
2048,warm,False,143242,0.37884,656829,144600,63.0
2048,warm,False,143657,0.398319,674882,145090,63.0
2048,warm,False,144866,0.406627,686099,146300,63.0
2048,warm,False,124055,0.405267,659479,125340,63.0
2048,warm,False,147599,0.399357,677093,150000,62.0
2048,warm,False,145493,0.382141,650403,147030,63.0
2048,warm,False,145772,0.380838,657181,147190,63.0
2048,warm,False,143377,0.384052,659238,144810,63.0
2048,warm,False,143870,0.399763,677396,145390,63.0
2048,warm,False,145271,0.377126,650638,146720,63.0
2048,warm,False,144427,0.385707,655343,145890,63.0
2048,warm,False,146074,0.40937,684386,147630,62.0
2048,warm,False,143457,0.400175,685964,144960,63.0
2048,warm,False,144113,0.410195,680899,145500,63.0
2048,warm,False,146375,0.400216,681481,147910,63.0
2048,warm,False,143121,0.402608,675163,144460,63.0
2048,warm,False,143333,0.384974,654491,144660,63.0
2048,warm,False,146958,0.386465,661912,148460,63.0
2048,warm,False,143559,0.382912,656458,145070,63.0
2048,warm,False,144564,0.378271,647084,146450,63.0
2048,warm,False,146467,0.382131,662507,0,
2048,warm,False,144141,0.395486,669882,145560,63.0
2048,warm,False,145632,0.39309,664247,146970,63.0
2048,warm,False,147840,0.373677,650975,150540,63.0
2048,warm,False,148070,0.402772,679497,149540,63.0
2048,warm,False,142821,0.413291,688346,144210,63.0
2048,warm,False,143228,0.388154,661241,144610,63.0
2048,warm,False,144732,0.377975,652958,146340,63.0
2048,warm,False,143398,0.402888,686895,144780,63.0
2048,warm,False,153479,0.392735,674719,155090,63.0
2048,warm,False,144533,0.38892,659055,145950,63.0
2048,warm,False,145574,0.38885,667836,146950,63.0
2048,warm,False,124452,0.394219,644896,125780,63.0
2048,warm,False,144212,0.385948,660699,0,
2048,warm,False,143799,0.382587,653030,145190,63.0
2048,warm,False,144018,0.40535,678761,145520,63.0
2048,warm,False,145748,0.386674,666249,0,
2048,warm,False,146656,0.385407,665892,148220,63.0
2048,warm,False,145289,0.409748,684247,146690,63.0
2048,warm,False,143697,0.397986,668623,145070,63.0
2048,warm,False,143820,0.382465,654197,145300,63.0
2048,warm,False,144056,0.406612,683381,155160,63.0
2048,warm,False,146588,0.398066,698335,149970,63.0
2048,warm,False,144814,0.405508,680548,146270,63.0
2048,warm,False,145872,0.37797,650766,147250,63.0
2048,warm,False,145131,0.409519,681414,146590,63.0
2048,warm,False,145930,0.397689,673085,147340,63.0
2048,warm,False,144790,0.397825,679723,146200,63.0
2048,warm,False,177437,0.384386,693616,178910,63.0
2048,warm,False,145403,0.399991,678012,146840,63.0
2048,warm,False,146465,0.389919,662540,148060,63.0
2048,warm,False,123468,0.401267,654096,126530,63.0
2048,warm,False,142991,0.414529,682208,144360,63.0
2048,warm,False,145211,0.392162,668426,146890,63.0
2048,warm,False,145089,0.396635,664004,146550,63.0
2048,warm,False,146271,0.404518,678641,147800,63.0
2048,warm,False,145710,0.378056,652208,147150,63.0
2048,warm,False,143727,0.375984,650769,145190,63.0
2048,warm,False,148295,0.378647,661455,149690,63.0
2048,warm,False,124177,0.406804,661660,0,
2048,warm,False,154130,0.378892,657860,155740,63.0
2048,warm,False,147469,0.388087,662472,149210,63.0
2048,warm,False,144822,0.398672,668065,146320,63.0
2048,warm,False,144250,0.393039,661899,0,
2048,warm,False,145348,0.386081,661907,146850,63.0
2048,warm,False,157454,0.394089,684667,158960,63.0
2048,warm,False,143882,0.403596,672312,145300,63.0
