memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
2048,warm,False,52987,0.011887,101674,0,
2048,warm,False,51946,0.011603,103001,0,
2048,warm,False,54383,0.011462,112724,0,
2048,warm,False,51730,0.011627,99867,0,
2048,warm,False,53210,0.011718,113663,0,
2048,warm,False,53193,0.011775,111032,0,
2048,warm,False,51319,0.011913,102349,0,
2048,warm,False,52657,0.011493,100197,0,
2048,warm,False,58227,0.011583,115711,0,
2048,warm,False,52281,0.011627,118459,0,
2048,warm,False,51307,0.011517,99981,0,
2048,warm,False,52364,0.01162,102966,0,
2048,warm,False,51422,0.011873,110019,0,
2048,warm,False,98310,0.011676,148949,0,
2048,warm,False,52851,0.011747,106976,0,
2048,warm,False,52468,0.011852,104818,0,
2048,warm,False,50861,0.012011,98163,0,
2048,warm,False,52250,0.012592,101550,0,
2048,warm,False,49091,0.01158,100626,0,
2048,warm,False,54916,0.011708,106558,0,
2048,warm,False,51985,0.011716,110603,0,
2048,warm,False,51601,0.011524,110386,0,
2048,warm,False,52093,0.011654,114476,0,
2048,warm,False,51185,0.011758,109541,0,
2048,warm,False,51325,0.012904,109269,0,
2048,warm,False,51076,0.011803,102895,0,
2048,warm,False,51185,0.011567,111093,0,
2048,warm,False,51209,0.011713,100887,0,
2048,warm,False,52131,0.011743,100970,0,
2048,warm,False,51354,0.011627,101128,0,
2048,warm,False,53238,0.012046,105413,0,
2048,warm,False,52337,0.011828,102189,0,
2048,warm,False,51547,0.01184,362184,0,
2048,warm,False,55123,0.011646,104076,0,
2048,warm,False,50983,0.011672,104081,0,
2048,warm,False,55273,0.011527,107459,0,
2048,warm,False,51580,0.011706,104200,0,
2048,warm,False,51899,0.012344,127023,0,
2048,warm,False,50900,0.011706,99174,0,
2048,warm,False,51468,0.011685,98762,0,
2048,warm,False,53048,0.011534,104297,0,
2048,warm,False,52195,0.011323,103323,0,
2048,warm,False,52033,0.011569,108491,0,
2048,warm,False,51406,0.011894,101517,0,
2048,warm,False,52649,0.011558,113776,0,
2048,warm,False,51780,0.011536,115131,0,
2048,warm,False,53254,0.011527,107497,0,
2048,warm,False,51534,0.012574,105979,0,
2048,warm,False,51856,0.011864,106001,0,
2048,warm,False,50758,0.011485,120670,0,
2048,warm,False,53233,0.011687,141350,0,
2048,warm,False,51599,0.011469,100492,0,
2048,warm,False,51318,0.011341,106566,0,
2048,warm,False,53139,0.011666,115028,0,
2048,warm,False,50568,0.011769,102242,0,
2048,warm,False,50964,0.011598,98707,0,
2048,warm,False,53197,0.011537,102000,0,
2048,warm,False,51134,0.012117,102364,0,
2048,warm,False,51755,0.011702,109084,0,
2048,warm,False,51857,0.011577,98872,0,
2048,warm,False,51850,0.011759,114834,0,
2048,warm,False,56035,0.011576,108545,0,
2048,warm,False,51429,0.011619,105490,0,
2048,warm,False,51280,0.011574,110364,0,
2048,warm,False,50641,0.011767,98575,0,
2048,warm,False,51771,0.011686,103414,0,
2048,warm,False,50133,0.011867,108039,0,
2048,warm,False,51567,0.011527,108494,0,
2048,warm,False,52245,0.011494,113687,0,
2048,warm,False,52262,0.011648,106770,0,
2048,warm,False,52449,0.01155,101965,0,
2048,warm,False,58444,0.012634,109238,0,
2048,warm,False,51943,0.012279,104566,0,
2048,warm,False,52551,0.012232,106363,0,
2048,warm,False,50916,0.011734,143001,0,
2048,warm,False,52706,0.011517,112254,0,
2048,warm,False,50614,0.011824,119255,0,
2048,warm,False,52457,0.011613,108751,0,
2048,warm,False,49667,0.011477,103797,0,
2048,warm,False,51514,0.011693,116652,0,
2048,warm,False,51212,0.012308,101710,0,
2048,warm,False,50988,0.011651,101820,0,
2048,warm,False,49899,0.012029,104951,0,
2048,warm,False,50167,0.011682,134808,0,
2048,warm,False,51542,0.011594,100128,0,
2048,warm,False,52319,0.011758,144639,0,
2048,warm,False,51422,0.012031,103592,0,
2048,warm,False,53749,0.011794,102782,0,
2048,warm,False,52071,0.011659,110879,0,
2048,warm,False,51203,0.011664,108046,0,
2048,warm,False,53702,0.011544,102646,0,
2048,warm,False,51097,0.01185,103895,0,
2048,warm,False,52718,0.011591,110050,0,
2048,warm,False,50581,0.011496,108150,0,
2048,warm,False,71734,0.011547,125418,0,
2048,warm,False,51784,0.011505,108525,0,
2048,warm,False,52900,0.011531,102307,0,
2048,warm,False,52556,0.0115,99768,0,
2048,warm,False,52387,0.01165,105739,0,
2048,warm,False,52474,0.011706,118957,0,
2048,warm,False,54256,0.011616,104858,0,
2048,warm,False,52504,0.011603,102291,0,
2048,warm,False,51258,0.011763,122587,0,
2048,warm,False,52063,0.011781,117240,0,
2048,warm,False,51569,0.0115,98584,0,
2048,warm,False,52035,0.011729,110931,0,
2048,warm,False,49821,0.012972,99390,0,
2048,warm,False,52217,0.011835,100163,0,
2048,warm,False,53376,0.011616,107052,0,
2048,warm,False,51387,0.012211,101373,0,
2048,warm,False,52646,0.01169,100865,0,
2048,warm,False,52047,0.011773,101427,0,
2048,warm,False,53503,0.011757,101299,0,
2048,warm,False,53272,0.011865,113757,0,
2048,warm,False,50542,0.011587,102561,0,
2048,warm,False,50649,0.01168,96906,0,
2048,warm,False,51596,0.011544,114628,0,
2048,warm,False,54569,0.011787,103631,0,
2048,warm,False,53330,0.011544,128066,0,
2048,warm,False,51053,0.011859,160890,0,
2048,warm,False,51609,0.011443,102792,0,
2048,warm,False,51564,0.011815,102172,0,
2048,warm,False,52206,0.011545,116656,0,
2048,warm,False,55754,0.011347,134670,0,
2048,warm,False,56353,0.011672,118980,0,
2048,warm,False,52196,0.011499,100504,0,
2048,warm,False,51198,0.011748,98514,0,
2048,warm,False,51318,0.01162,160440,0,
2048,warm,False,51183,0.011673,99072,0,
2048,warm,False,52281,0.012643,108781,0,
2048,warm,False,52940,0.011679,103251,0,
2048,warm,False,51836,0.011706,105593,0,
2048,warm,False,51226,0.011484,115604,0,
2048,warm,False,51534,0.011696,102700,0,
2048,warm,False,50183,0.011389,104608,0,
