memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
2048,warm,False,125039,0.011526,150355,0,
2048,warm,False,123810,0.011606,149562,0,
2048,warm,False,124808,0.011344,149333,0,
2048,warm,False,127334,0.011802,154589,0,
2048,warm,False,125920,0.011626,158518,0,
2048,warm,False,125116,0.01214,152136,0,
2048,warm,False,124619,0.011579,150980,0,
2048,warm,False,126094,0.011369,151605,0,
2048,warm,False,137744,0.011411,172763,0,
2048,warm,False,129008,0.011475,156546,0,
2048,warm,False,126585,0.011306,151242,0,
2048,warm,False,125260,0.011628,161430,0,
2048,warm,False,125468,0.012134,151943,0,
2048,warm,False,124520,0.011379,148968,0,
2048,warm,False,123666,0.011333,147802,0,
2048,warm,False,124233,0.011552,149670,0,
2048,warm,False,125853,0.011497,150887,0,
2048,warm,False,125458,0.012591,153707,0,
2048,warm,False,126177,0.011391,152190,0,
2048,warm,False,131108,0.011602,163475,0,
2048,warm,False,128956,0.011538,156037,0,
2048,warm,False,125704,0.011579,150854,0,
2048,warm,False,125997,0.011673,151946,0,
2048,warm,False,127914,0.011645,153451,0,
2048,warm,False,126545,0.011344,151913,0,
2048,warm,False,125161,0.011367,151249,0,
2048,warm,False,125511,0.011448,153019,0,
2048,warm,False,130001,0.011551,157936,0,
2048,warm,False,126396,0.011509,163310,0,
2048,warm,False,124257,0.011585,151737,0,
2048,warm,False,124482,0.011381,150829,0,
2048,warm,False,139800,0.011539,173072,0,
2048,warm,False,125544,0.011589,156861,0,
2048,warm,False,124713,0.011386,150066,0,
2048,warm,False,123954,0.011537,151557,0,
2048,warm,False,124567,0.011862,149961,0,
2048,warm,False,124107,0.011749,150447,0,
2048,warm,False,128074,0.011502,175194,0,
2048,warm,False,125352,0.011677,154929,0,
2048,warm,False,123849,0.011473,149554,0,
2048,warm,False,126052,0.011588,160819,0,
2048,warm,False,128571,0.011456,154159,0,
2048,warm,False,125665,0.011723,152373,0,
2048,warm,False,127290,0.011663,154747,0,
2048,warm,False,124614,0.011516,149593,0,
2048,warm,False,126466,0.01148,158428,0,
2048,warm,False,124754,0.011405,149535,0,
2048,warm,False,125207,0.011348,150799,0,
2048,warm,False,124208,0.011403,161620,0,
2048,warm,False,125403,0.011434,151889,0,
2048,warm,False,124516,0.011675,149994,0,
2048,warm,False,123870,0.011545,151570,0,
2048,warm,False,124993,0.01152,153970,0,
2048,warm,False,124200,0.011382,154125,0,
2048,warm,False,126878,0.011697,154183,0,
2048,warm,False,128138,0.011415,153726,0,
2048,warm,False,124805,0.011485,151528,0,
2048,warm,False,130540,0.011579,158653,0,
2048,warm,False,125425,0.011568,154786,0,
2048,warm,False,124901,0.011509,154589,0,
2048,warm,False,126983,0.011276,152116,0,
2048,warm,False,125179,0.011719,150661,0,
2048,warm,False,124151,0.011519,151705,0,
2048,warm,False,128077,0.011444,152764,0,
2048,warm,False,124825,0.011404,152794,0,
2048,warm,False,127344,0.011634,153945,0,
2048,warm,False,124433,0.011356,149289,0,
2048,warm,False,126415,0.011474,158723,0,
2048,warm,False,125022,0.01152,151093,0,
2048,warm,False,125086,0.011593,150701,0,
2048,warm,False,129856,0.011627,157184,0,
2048,warm,False,128548,0.01143,163261,0,
2048,warm,False,126788,0.011554,152776,0,
2048,warm,False,124892,0.011383,150269,0,
2048,warm,False,129618,0.011451,157854,0,
2048,warm,False,123699,0.011423,149626,0,
2048,warm,False,128934,0.011577,154682,0,
2048,warm,False,125599,0.011485,157729,0,
2048,warm,False,123813,0.011866,150692,0,
2048,warm,False,124609,0.011417,152745,0,
2048,warm,False,124774,0.011731,151176,0,
2048,warm,False,126268,0.011569,151603,0,
2048,warm,False,124442,0.01156,152187,0,
2048,warm,False,124539,0.011475,157451,0,
2048,warm,False,128306,0.011465,153971,0,
2048,warm,False,125563,0.011396,149951,0,
2048,warm,False,125839,0.011553,160739,0,
2048,warm,False,124748,0.011351,149578,0,
2048,warm,False,125030,0.011669,155755,0,
2048,warm,False,124150,0.011526,148869,0,
2048,warm,False,124681,0.011556,149838,0,
2048,warm,False,124461,0.011546,154266,0,
2048,warm,False,126173,0.011369,153099,0,
2048,warm,False,128422,0.01196,155903,0,
2048,warm,False,119986,0.011591,145209,0,
2048,warm,False,123875,0.011511,151386,0,
2048,warm,False,128814,0.011267,198370,0,
2048,warm,False,124294,0.011874,149292,0,
2048,warm,False,126136,0.011426,154033,0,
2048,warm,False,128190,0.01189,160233,0,
2048,warm,False,125262,0.011328,150397,0,
2048,warm,False,126557,0.012828,160982,0,
2048,warm,False,125829,0.0117,187468,0,
2048,warm,False,125749,0.011454,156858,0,
2048,warm,False,125420,0.01143,151343,0,
2048,warm,False,126894,0.011528,152527,0,
2048,warm,False,153107,0.011688,180562,0,
2048,warm,False,124399,0.011485,149447,0,
2048,warm,False,124813,0.011701,150721,0,
2048,warm,False,129576,0.012622,156370,0,
2048,warm,False,129356,0.011373,154810,0,
2048,warm,False,135412,0.011532,169444,0,
2048,warm,False,126500,0.011726,172500,0,
2048,warm,False,123813,0.011933,162128,0,
2048,warm,False,124351,0.012171,153513,0,
2048,warm,False,123865,0.011502,150135,0,
2048,warm,False,126265,0.011338,155184,0,
2048,warm,False,124551,0.011598,153500,0,
2048,warm,False,145260,0.011603,170595,0,
2048,warm,False,124562,0.01176,150537,0,
2048,warm,False,125616,0.011339,161015,0,
2048,warm,False,127810,0.011405,154051,0,
2048,warm,False,129376,0.011388,156038,0,
2048,warm,False,126248,0.011538,152021,0,
2048,warm,False,129729,0.011323,159378,0,
2048,warm,False,124552,0.011398,150926,0,
2048,warm,False,126286,0.011611,182739,0,
2048,warm,False,128494,0.011364,153666,0,
2048,warm,False,131147,0.012509,157058,0,
2048,warm,False,124278,0.011568,150433,0,
2048,warm,False,124512,0.011568,175975,0,
2048,warm,False,124203,0.011467,152448,0,
2048,warm,False,131007,0.01137,156761,0,
2048,warm,False,124610,0.011421,152973,0,
2048,warm,False,126416,0.011434,151906,0,
2048,warm,False,124179,0.011454,149914,0,
2048,warm,False,124723,0.011427,150876,0,
2048,warm,False,128497,0.011533,156017,0,
2048,warm,False,125808,0.011226,153135,0,
2048,warm,False,125412,0.011513,155987,0,
2048,warm,False,127667,0.01146,153282,0,
2048,warm,False,123697,0.011408,150061,0,
2048,warm,False,137884,0.011575,225361,0,
2048,warm,False,125072,0.011269,149965,0,
2048,warm,False,125773,0.011733,150663,0,
2048,warm,False,124597,0.011843,150076,0,
2048,warm,False,127503,0.011565,152686,0,
2048,warm,False,125353,0.011393,152131,0,
2048,warm,False,125100,0.011512,159212,0,
2048,warm,False,125575,0.011684,152459,0,
2048,warm,False,125672,0.011376,156189,0,
2048,warm,False,130232,0.011403,161165,0,
2048,warm,False,129081,0.011704,154085,0,
2048,warm,False,125613,0.01146,155667,0,
2048,warm,False,130372,0.011721,161026,0,
2048,warm,False,169720,0.011384,200179,0,
2048,warm,False,124317,0.011392,149700,0,
2048,warm,False,124340,0.011395,150264,0,
2048,warm,False,126590,0.011741,152818,0,
2048,warm,False,125271,0.01286,153087,0,
2048,warm,False,124058,0.011296,153588,0,
2048,warm,False,125196,0.011574,149111,0,
2048,warm,False,124980,0.012417,153009,0,
2048,warm,False,128216,0.011533,155762,0,
2048,warm,False,126443,0.011628,157359,0,
